omega,omega0,epsilon,label
0.5939189189189189,0.9898648648648648,1.0,BEC ridge A (baseline norm)
0.6101351351351353,0.9898648648648648,0.9144537515594372,BEC ridge A (baseline norm)
0.6263513513513513,0.9898648648648648,0.839600784173944,BEC ridge A (baseline norm)
0.6425675675675675,0.9898648648648648,0.7611833897700946,BEC ridge A (baseline norm)
0.6547297297297298,0.9898648648648648,0.7005881304580287,BEC ridge A (baseline norm)
0.6668918918918918,0.9898648648648648,0.6399928711459635,BEC ridge A (baseline norm)
0.6770270270270271,0.9898648648648648,0.5900908928889678,BEC ridge A (baseline norm)
0.7074324324324324,0.9898648648648648,0.5615754767421134,BEC ridge A (baseline norm)
0.7520270270270271,0.9898648648648648,0.5259312065585457,BEC ridge A (baseline norm)
0.7722972972972975,0.9898648648648648,0.5081090714667617,BEC ridge A (baseline norm)
0.7945945945945946,0.9898648648648648,0.4760292283015505,BEC ridge A (baseline norm)
0.8168918918918918,0.9898648648648648,0.4368205310996255,BEC ridge A (baseline norm)
0.8452702702702702,0.9898648648648648,0.3940474068793439,BEC ridge A (baseline norm)
0.8716216216216216,0.9898648648648648,0.3512742826590622,BEC ridge A (baseline norm)
0.8959459459459459,0.9898648648648648,0.2942434503653531,BEC ridge A (baseline norm)
0.9182432432432431,0.9898648648648648,0.2407770450900012,BEC ridge A (baseline norm)
0.9425675675675675,0.9898648648648648,0.1837462127962926,BEC ridge A (baseline norm)
0.9668918918918918,0.9898648648648648,0.1231509534842268,BEC ridge A (baseline norm)
0.9993243243243243,0.9898648648648648,0.0803778292639456,BEC ridge A (baseline norm)
1.0277027027027024,0.9898648648648648,0.0376047050436639,BEC ridge A (baseline norm)
1.054054054054054,0.9898648648648648,0.0,BEC ridge A (baseline norm)
1.0641891891891893,0.9898648648648648,0.0,BEC ridge A (baseline norm)
1.0905405405405404,0.9898648648648648,0.0019604348600962,BEC ridge A (baseline norm)
1.125,0.9898648648648648,0.0126537159151663,BEC ridge A (baseline norm)
1.1614864864864864,0.9898648648648648,0.0269114239885937,BEC ridge A (baseline norm)
1.1979729729729727,0.9898648648648648,0.0768134022455889,BEC ridge A (baseline norm)
1.2263513513513513,0.9898648648648648,0.1124576724291566,BEC ridge A (baseline norm)
1.2567567567567568,0.9898648648648648,0.1516663696310811,BEC ridge A (baseline norm)
1.3074324324324327,0.9898648648648648,0.1374086615576542,BEC ridge A (baseline norm)
1.3540540540540542,0.9898648648648648,0.1267153805025835,BEC ridge A (baseline norm)
